escalation_on,dropout_rate,response_rate,closure_rate,n_seeds
False,0.1,,0.6411328015101599,3
False,0.25,,0.5730712334485919,3
False,0.4,,0.43944839227858096,3
True,0.1,0.0,0.6411328015101599,3
True,0.1,0.25,0.7479648234365216,3
True,0.1,0.5,0.8435160227613058,3
True,0.1,0.75,0.8840652708577237,3
True,0.25,0.0,0.5730712334485919,3
True,0.25,0.25,0.691783059707588,3
True,0.25,0.5,0.751958034976903,3
True,0.25,0.75,0.8503226333415013,3
True,0.4,0.0,0.43944839227858096,3
True,0.4,0.25,0.6178541933258914,3
True,0.4,0.5,0.7066940746186029,3
True,0.4,0.75,0.8505631335820015,3
